Id,Sales_Price,Baths,Land_size,Beds,House_size,Location
7646,11500000,1,8,2,1200,"Piliyandala,Colombo"
7647,14000000,2,8,3,1400,"Piliyandala,Colombo"
7648,13500000,2,10,3,1500,"Piliyandala,Colombo"
7649,25500000,4,6,4,2754,"Piliyandala,Colombo"
7650,24800000,4,6,4,2865,"Piliyandala,Colombo"
7651,15500000,1,6.8,3,2000,"Malabe,Colombo"
7652,49500000,4,10,4,4200,"Talawatugoda,Colombo"
7653,40000000,5,11,5,3500,"Talawatugoda,Colombo"
7654,34000000,4,10,4,4000,"Piliyandala,Colombo"
7655,23500000,3,7.5,5,3250,"Piliyandala,Colombo"
7656,11000000,2,10,5,2100,"Negombo,Gampaha"
7657,30500000,4,8.5,4,3519,"Piliyandala,Colombo"
7658,52000000,7,12,,5700,"Malabe,Colombo"
7659,24500000,4,6.3,4,1700,"Malabe,Colombo"
7660,9900000,1,10,3,1450,"Negombo,Gampaha"
7661,26500000,3,43,3,2850,"Negombo,Gampaha"
7662,14000000,2,12.6,4,2400,"Piliyandala,Colombo"
7663,18500000,3,7.5,3,1500,"Malabe,Colombo"
7664,19000000,2,11.4,3,1900,"Malabe,Colombo"
7665,15000000,2,10,3,1900,"Maharagama,Colombo"
7666,70000000,5,12.5,9,4200,"Nugegoda,Colombo"
7667,26000000,3,7.5,4,2463,"Piliyandala,Colombo"
7668,25500000,3,6.5,4,2200,"Malabe,Colombo"
7669,29000000,4,10,4,2600,"Malabe,Colombo"
7670,36000000,3,7.8,4,3600,"Malabe,Colombo"
7671,26000000,4,10.5,4,2400,"Malabe,Colombo"
7672,35000000,2,17.8,4,2500,"Wattala,Gampaha"
7673,19500000,2,12.5,3,2000,"Negombo,Gampaha"
7674,24800000,4,6.5,4,2561,"Piliyandala,Colombo"
7675,35000000,4,8.5,4,2853,"Piliyandala,Colombo"
7676,28500000,4,8.5,4,2631,"Piliyandala,Colombo"
7677,26500000,3,10.5,4,3150,"Negombo,Gampaha"
7678,34000000,4,9,4,3412,"Piliyandala,Colombo"
7679,21500000,3,9.5,3,2463,"Piliyandala,Colombo"
7680,25500000,4,7.5,4,2500,"Piliyandala,Colombo"
7681,26500000,3,10,3,2800,"Piliyandala,Colombo"
7682,25500000,4,7.5,4,2986,"Piliyandala,Colombo"
7683,27000000,4,19,4,3415,"Piliyandala,Colombo"
7684,33500000,4,16,5,3458,"Piliyandala,Colombo"
7685,21500000,3,9.5,3,2686,"Piliyandala,Colombo"
